time_begin,GI_Food,GI
2019-10-16 13:44:00,Low,28
2019-10-16 13:44:00,Low,28
2019-10-16 13:44:00,Med,62
2019-10-16 17:55:00,Low,28
2019-10-16 17:55:00,"Chickpeas (Garbanzo beans, Bengal gram), canned, drained, Edgell's™ brand ",38
2019-10-16 17:55:00,Low,28
2019-10-16 17:55:00,Low,28
2019-10-16 17:55:00,Low,28
2019-10-16 20:30:00,"Poppin Microwave Popcorn, butter flavor",51
2019-10-16 20:30:00,Low,28
2019-10-16 22:25:00,"Burger Buns, 100% Whole wheat Gigantico, President's Choice® Blue Menu™",62
2019-10-16 22:25:00,Low,28
2019-10-17 10:05:00,Low,28
2019-10-17 10:05:00,Med,62
2019-10-17 10:05:00,Low,28
2019-10-17 10:05:00,Low,28
2019-10-17 10:05:00,Low,28
2019-10-17 13:00:00,"Burger Buns, 100% Whole wheat Gigantico, President's Choice® Blue Menu™",62
2019-10-17 13:00:00,Low,28
2019-10-17 16:35:00,Med,62
2019-10-17 19:05:00,Low,28
2019-10-17 19:05:00,Low,28
2019-10-17 19:05:00,Low,28
2019-10-17 19:05:00,Low,28
2019-10-17 19:05:00,Low,28
2019-10-17 20:50:00,"Poppin Microwave Popcorn, butter flavor",51
2019-10-17 20:50:00,Low,28
2019-10-18 09:45:00,High,85
2019-10-18 13:00:00,Med,62
2019-10-18 13:00:00,"French Fries, baked 15 min (OreIda Golden Fries)",64
2019-10-18 13:00:00,"Lemon flavored soft drink, Lemonade, Schweppes®",54
2019-10-18 18:10:00,Low,28
2019-10-18 18:10:00,Low,28
2019-10-18 18:10:00,Low,28
2019-10-18 18:10:00,Low,28
2019-10-18 18:10:00,Low,28
2019-10-18 18:10:00,Low,28
2019-10-18 18:40:00,Low,28
2019-10-18 21:00:00,"Poppin Microwave Popcorn, butter flavor",51
2019-10-18 22:30:00,"Burger Buns, 100% Whole wheat Gigantico, President's Choice® Blue Menu™",62
2019-10-18 22:30:00,Low,28
2019-10-18 22:30:00,Med,62
2019-10-19 12:10:00,Low,28
2019-10-19 12:10:00,Med,62
2019-10-19 12:10:00,Low,28
2019-10-19 12:10:00,Low,28
2019-10-19 12:10:00,Low,28
2019-10-19 12:10:00,Low,28
2019-10-19 16:15:00,Med,62
2019-10-19 16:15:00,"Prince Edward Island white potato, cooked in microwave for 18 min",73
2019-10-19 16:15:00,Low,28
2019-10-19 16:15:00,Low,28
2019-10-19 20:25:00,High,85
2019-10-19 21:30:00,High,85
2019-10-20 10:40:00,High,85
2019-10-20 13:40:00,High,85
2019-10-20 18:35:00,Med,62
2019-10-20 18:35:00,"Prince Edward Island white potato, cooked in microwave for 18 min",73
2019-10-20 18:35:00,Low,28
2019-10-20 18:35:00,Low,28
2019-10-20 21:20:00,"Poppin Microwave Popcorn, butter flavor",51
2019-10-20 21:20:00,Low,28
2019-10-21 10:30:00,High,85
2019-10-21 13:45:00,Low,28
2019-10-21 13:45:00,Med,62
2019-10-21 13:45:00,Low,28
2019-10-21 13:45:00,Low,28
2019-10-21 13:45:00,Low,28
2019-10-21 13:45:00,Low,28
2019-10-21 19:05:00,Low,28
2019-10-21 19:05:00,"Chickpeas (Garbanzo beans, Bengal gram), canned, drained, Edgell's™ brand ",38
2019-10-21 19:05:00,Low,28
2019-10-21 19:05:00,Low,28
2019-10-21 19:05:00,Low,28
2019-10-22 10:00:00,Low,28
2019-10-22 10:00:00,Med,62
2019-10-22 10:00:00,Low,28
2019-10-22 10:00:00,Low,28
2019-10-22 10:00:00,Low,28
2019-10-22 10:00:00,Low,28
2019-10-22 16:10:00,High,85
2019-10-22 19:05:00,Low,28
2019-10-22 19:05:00,"Chickpeas (Garbanzo beans, Bengal gram), canned, drained, Edgell's™ brand ",38
2019-10-22 19:05:00,Low,28
2019-10-22 19:05:00,Med,62
2019-10-22 19:05:00,Low,28
2019-10-22 19:05:00,"Prince Edward Island white potato, cooked in microwave for 18 min",73
2019-10-22 19:05:00,Low,28
2019-10-22 19:05:00,Low,28
2019-10-23 06:00:00,High,85
2019-10-23 11:30:00,"Burger Buns, 100% Whole wheat Gigantico, President's Choice® Blue Menu™",62
2019-10-23 11:30:00,Low,28
2019-10-23 13:20:00,Med,62
2019-10-23 13:20:00,High,85
2019-10-23 16:00:00,High,85
2019-10-23 19:15:00,Low,28
2019-10-23 19:15:00,"Chickpeas (Garbanzo beans, Bengal gram), canned, drained, Edgell's™ brand ",38
2019-10-23 19:15:00,Low,28
2019-10-23 19:15:00,Low,28
2019-10-23 19:15:00,Med,62
2019-10-23 20:55:00,"Poppin Microwave Popcorn, butter flavor",51
2019-10-23 20:55:00,Low,28
2019-10-24 08:30:00,High,85
